12-31 	11388	0	可爱的农业银行1分钱就能开心的玩一天，织布机中的织布机[胜利]	可爱的农业银行1分钱就能开心的玩一天，织布机中的织布机	
12-31 	12674	0	3.10元买来入充当市值认购新股	2016年月7日分红后的除权价是3.12元，当天收盘3.10元。转天最低3.07元，至今没破！目前的3.10元属于贴权，地板价，俺估计3.07元已跌无可跌。目前这个价位逢低买入，主动认套，将来会发现这是个黄金套。稳赚不赔！既然跌无可跌，买来充当市值认购新股是不错的选择！如果你想赚大钱，赚快钱，俺奉劝你：离农行越快越远越好！	
12-31 	13747	0	四天108亿资金净买入建行港股，银行股价值严重低估。	四天108亿资金净买入建行港股，银行股价值严重低估。	
12-30 	12733	0	我非常热爱自己的祖国，但是我真的羡慕嫉妒道琼斯那边的行情。	我非常热爱自己的祖国，但是我真的羡慕嫉妒道琼斯那边的行情。	
12-30 	12389	0	★热点龙头尽收囊中，2017年股市20倍牛股在这里！	首先回顾下过去的这一年，在我和众多股友们一起度过的2016年，我们疯狂过，也低迷过，但是值得肯定的是没有让跟着我的近两千粉丝失望，咱们疯狂的骑过马（四川双马），吃过鱼（武昌鱼），啃过鸭（煌上煌）......当然也有错过了天马股份这样的不足，但是8层的粉丝账户资金收益都超过50%了吧，翻了一倍的我想也大有人在！感谢大家一直以来的支持，2017咱们再接再砺，共赢股市！对于节后大盘，谈一下自己的看法及观点：节后大盘展开波段行情概率大，几个理由：一是节前挖坑节后填坑：这个现象是A股所特有，中国人具有开门红节日情结，虽然并非每个开门都红，但几乎每个节假日前主力都挖黄金坑，一旦节假日期间政策利好刺激，填坑理所当然！二是强支撑区域明显：小徐反复提醒3000点击250天是政策“红线”，市场估值红线，不破很正常，即使破空头陷阱概率极大，因此，这里是多头的重要防御区域。三是节后流动性改善：从国债逆回购利率持续回落也可以看出，跨年后“钱荒”将暂时告一段落，市场流动性将会出现改善。为波段行情的炒作提供可能性极基础。四是双时间窗口开启：技术上股指连续四周调整，利空释放非常充分，并且在20周线上开启反弹时间窗口是大概率。而年报即将开启属于基本面范畴，双时间窗口为节后大盘保驾护航。五是底背离结构：60分钟呈现明显的底背离结构，意味着技术上已超跌，这个信号不是绝对的，但是真实的，底背离后大幅反弹不奇怪。六是大资金护盘明显：我们看到今天的盘面主动性拉升中信证券护盘明显，说明这里兵家必争之地。2017年初可重点关注三条投资主线：一是混改为主的国企改革概念，仍将是确实性机会；二是年报高送转行情，每年都火炒作的确定性主题；三是白酒等消费类行业的中期布局机会。在即将过去的12月，小徐也是给大家送出了不少好票，有3支涨幅都是在40%以上。12月6号，带粉友抢进的000672上峰.水泥，仅仅是5个交易日，收益50%以上，这无疑是一次非常成功的操作。又如12月15日，尾盘介入002040南京.港，此股多线金叉，资金强力介入，所以小徐断定此股后市必然会有一波强势拉伸的空间，结果第二天便强势涨停！之后一路高歌猛进，4连板封死，46个点的收益到账！本月20日采用3+1漏网原理选股法开盘介入600099林海.股份，此股均线多头排列，下方MACD金叉发散,资金强力介入，当天冲高拉升10个点,21号该股有了小幅调整，当时粉友们都问该票下一步怎么操作，我直接告诉粉丝朋友，继续持有！该股还将有一波上涨行情，在22号一波小幅上涨之后，23号成功涨停。 6个交易日46%的收益已经牢牢的把握，跟上的朋友赚到了。还有几支涨幅不大，不过也并不亏钱，这里就不在一一列出了！我不收钱，因为不缺，我只出精品，因为足够专业！！！！临近年底，股市也会给大家发个新年红包，不过至于你能不能分到手，或者分到多少，就只有靠自己去争取了。不过我接下来我会在群里精选三支底部吸筹+黄金技术买点+主力资金关注的红包股赠给有缘人！实盘指导，推荐给大家参考，跟对人，选对法，方能做到，跌涨前，未雨绸缪，跌涨后，淡定从容！	
12-30 	12871	0	那些在买一卖一档同时委托巨单操纵股价的垃圾主力难道不应该受到法律制裁？（为什么在农吧不能发表请说明理由）	共1页返回财经评论吧＞＞现有59人阅读过该帖，评论0条。相关帖子236115条多多赢家 影响力 吧龄 2年 发表于 2016-12-30 19:42:24 股吧网那些在买一卖一档同时委托巨单操纵股价的垃圾主力难道不应该受到法律制裁？农行上市6年多了，居然天天还有“5000万股”级别的抛单挂在卖一档，相当不正常。这些垃圾主力整天上下挂巨单造成股价夹板现象，这样气焰嚣张地操纵股价的违法恶行实在令人气愤至极，在此呼吁管理层加强监管。	
12-30 	13609	0	记住上证5178.19点，来得太快，走得伤感！ 总结：这波行情本来是经过多年科学	记住上证5178.19点，来得太快，走得伤感！总结：这波行情本来是经过多年科学技术实行转移企业产生效益的结果，本不应该体现在上证指数太快太大指数现，透支了就得承受艰难，这就叫乐极生悲，特大行情要等到下一步新科技技术转换才能产生，现在就是应用效益转换行情期间，好听叫修补行情期。五大行好在没透支大深，这就是经后修补期加行情暴发期的平稳运行期的现实行情，套住的股友没必要伤感，五大行都有分红来填补漏洞。要离开五大行的，一定要记住行情没有大的起色时，千万小心你看好的个股是否运行于本波行情中的股票，切记 . 切记	
12-30 	12484	0	那些在买一卖一档同时委托巨单操纵股价的垃圾主力难道不应该受到法律制裁？	农行上市6年多了，居然天天还有“5000万股”级别的抛单挂在卖一档，相当不正常。这些垃圾主力整天上下挂巨单造成股价夹板现象，这样气焰嚣张地操纵股价的违法恶行实在如不可遏，在此呼吁管理层加强监管。	
12-30 	12721	0	千万不能买此票涨一天一分钱如果涨2分钱你卖都不容易拉积中的拉积市值在好也没价值	千万不能买此票涨一天一分钱如果涨2分钱你卖都不容易拉积中的拉积市值在好也没价值	
12-30 	25228	2	建议银行年度不分红,用30--50%净利润进行股票回购!	建议银行等上市公司年度不分红,用30--50%净利润进行股票回购!!!	各色人等纷纷预测来年A行情仍摆脱不了盲人摸象之嫌！立足当下，立足具体公司基本面，重投资少投机，低估值才是硬道理，其它均为扯蛋! 如果四大行全部拿出30~50%年度净利润回购股票，两年内上年再上6124点将易如反掌! 
12-30 	11178	0	新人新事新气象七	中国股市上下震荡，稳固整理，等待上行。万科的股权之争是很难消除的，短线客们可以进场操作一下，等待股权双方之争能够让你赚钱，让你高兴。明年的股市在我们的研究课题之中将会有好收成。指数小年也就是说股市指数不会涨的太猛，但个股的行情将会是一个很凶的牛市。如果个股选择组合的好的话，赚10倍、20倍都不在话下。那就看你们精选个股，有胆有识地买进股票。因为市场主力庄家吸取了2015、2016年的经验教训，放下身段，轮炒个股，在轮炒个股的基础上水涨船高。股市指数慢慢上涨，也就是说慢牛炒个股，在慢牛氛围中个股轮炒爆发出火牛。我们以上的讲法就好象在讲故事，你们爱听就听。2017年我们再相会吧，祝大家身体健康，明年再见。一家之言，谢谢大家。	
